x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0002,0.0081,0.005001,25.2391,25.239,9.999999999976694e-05,0.00039621064142446837
0.0002,0.0082,0.005001,25.2286,25.2285,9.999999999976694e-05,0.00039637554204261427
0.0002,0.0083,0.005001,25.2178,25.2177,9.999999999976694e-05,0.0003965452973683786
0.0002,0.0084,0.005001,25.2067,25.2066,9.999999999976694e-05,0.00039671991970294793
0.0002,0.0085,0.005001,25.1953,25.1952,9.999999999976694e-05,0.00039689942171660183
0.0002,0.0086,0.005001,25.1836,25.1836,0.0,0.0
0.0002,0.0087,0.005001,25.1717,25.1717,0.0,0.0
0.0002,0.0088,0.005001,25.1595,25.1595,0.0,0.0
0.0002,0.0089,0.005001,25.1471,25.1471,0.0,0.0
0.0002,0.009,0.005001,25.1345,25.1344,9.999999999976694e-05,0.0003978595158040262
0.0002,0.0091,0.005001,25.1216,25.1216,0.0,0.0
0.0002,0.0092,0.005001,25.1086,25.1086,0.0,0.0
0.0002,0.0093,0.005001,25.0954,25.0954,0.0,0.0
0.0002,0.0094,0.005001,25.0821,25.082,9.999999999976694e-05,0.0003986906997411021
0.0002,0.0095,0.005001,25.0686,25.0686,0.0,0.0
0.0002,0.0096,0.005001,25.055,25.055,0.0,0.0
0.0002,0.0097,0.005001,25.0413,25.0413,0.0,0.0
0.0002,0.0098,0.005001,25.0276,25.0276,0.0,0.0
0.0002,0.0099,0.005001,25.0138,25.0138,0.0,0.0
0.0002,0.01,0.005001,25.0,25.0,0.0,0.0
0.0003,0.0,0.005001,25.0,25.0,0.0,0.0
0.0003,0.0001,0.005001,25.0207,25.0207,0.0,0.0
0.0003,0.0002,0.005001,25.0413,25.0413,0.0,0.0
0.0003,0.0003,0.005001,25.0619,25.0619,0.0,0.0
0.0003,0.0004,0.005001,25.0824,25.0824,0.0,0.0
0.0003,0.0005,0.005001,25.1027,25.1027,0.0,0.0
0.0003,0.0006,0.005001,25.1229,25.1229,0.0,0.0
0.0003,0.0007,0.005001,25.1429,25.1429,0.0,0.0
0.0003,0.0008,0.005001,25.1626,25.1626,0.0,0.0
0.0003,0.0009,0.005001,25.1822,25.1822,0.0,0.0
0.0003,0.001,0.005001,25.2014,25.2014,0.0,0.0
0.0003,0.0011,0.005001,25.2203,25.2203,0.0,0.0
0.0003,0.0012,0.005001,25.2389,25.2389,0.0,0.0
0.0003,0.0013,0.005001,25.2572,25.2571,9.999999999976694e-05,0.000395926706047238
0.0003,0.0014,0.005001,25.275,25.275,0.0,0.0
0.0003,0.0015,0.005001,25.2925,25.2925,0.0,0.0
0.0003,0.0016,0.005001,25.3095,25.3095,0.0,0.0
0.0003,0.0017,0.005001,25.3262,25.3262,0.0,0.0
0.0003,0.0018,0.005001,25.3423,25.3423,0.0,0.0
0.0003,0.0019,0.005001,25.3581,25.3581,0.0,0.0
0.0003,0.002,0.005001,25.3733,25.3733,0.0,0.0
0.0003,0.0021,0.005001,25.3881,25.3881,0.0,0.0
0.0003,0.0022,0.005001,25.4024,25.4024,0.0,0.0
0.0003,0.0023,0.005001,25.4162,25.4162,0.0,0.0
0.0003,0.0024,0.005001,25.4295,25.4295,0.0,0.0
0.0003,0.0025,0.005001,25.4423,25.4423,0.0,0.0
0.0003,0.0026,0.005001,25.4545,25.4545,0.0,0.0
0.0003,0.0027,0.005001,25.4663,25.4663,0.0,0.0
0.0003,0.0028,0.005001,25.4776,25.4776,0.0,0.0
0.0003,0.0029,0.005001,25.4883,25.4883,0.0,0.0
0.0003,0.003,0.005001,25.4985,25.4985,0.0,0.0
0.0003,0.0031,0.005001,25.5082,25.5082,0.0,0.0
0.0003,0.0032,0.005001,25.5174,25.5174,0.0,0.0
0.0003,0.0033,0.005001,25.526,25.526,0.0,0.0
0.0003,0.0034,0.005001,25.5342,25.5342,0.0,0.0
0.0003,0.0035,0.005001,25.5418,25.5418,0.0,0.0
0.0003,0.0036,0.005001,25.5489,25.549,9.999999999976694e-05,0.00039140628363555
0.0003,0.0037,0.005001,25.5556,25.5556,0.0,0.0
0.0003,0.0038,0.005001,25.5617,25.5617,0.0,0.0
0.0003,0.0039,0.005001,25.5673,25.5673,0.0,0.0
0.0003,0.004,0.005001,25.5725,25.5724,0.00010000000000331966,0.0003910450679570466
0.0003,0.0041,0.005001,25.5771,25.5771,0.0,0.0
0.0003,0.0042,0.005001,25.5812,25.5812,0.0,0.0
0.0003,0.0043,0.005001,25.5848,25.5848,0.0,0.0
0.0003,0.0044,0.005001,25.588,25.588,0.0,0.0
0.0003,0.0045,0.005001,25.5906,25.5906,0.0,0.0
0.0003,0.0046,0.005001,25.5928,25.5928,0.0,0.0
0.0003,0.0047,0.005001,25.5945,25.5945,0.0,0.0
0.0003,0.0048,0.005001,25.5957,25.5957,0.0,0.0
